"Tabla de indicadores","","Fecha de descarga: 18-08-2017 (18:00:59)","","","","","","","","","","","","",""
"Cd. Carmen, Campeche","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Villahermosa, Tabasco","Tomas con servicio continuo (%)","","","","","","","","10","36.49","38.47","38.92","38.76","38.79","39.39"
"Chapala, Jalisco","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Comitán de Domínguez, Chiapas","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Cuautitlán Izcalli, México","Tomas con servicio continuo (%)","16.89","16.26","15.56","15.29","15.26","15.04","14.82","14.68","14.56","14.23","","","",""
"Delicias, Chihuahua","Tomas con servicio continuo (%)","94.26","91.86","92.74","93.41","94.22","95.55","96.02","96.14","94.97","96.57","97.48","97.49","97.93","97.98"
"Cd. Mante, Tamaulipas","Tomas con servicio continuo (%)","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"Ixtapaluca, México","Tomas con servicio continuo (%)","","","","","","","","","","","","","31.22","0.42"
"Matehuala, San Luis Potosí","Tomas con servicio continuo (%)","99.9","100","100","99.99","100","100","100.14","100","100","100","100","100","100","93.31"
"Morelia, Michoacán","Tomas con servicio continuo (%)","","36.9","35.35","34.1","37.08","38.87","42.36","40.68","43.88","35.38","46.98","49.48","47.64","53.75"
"Moroleón, Guanajuato","Tomas con servicio continuo (%)","71.54","69.79","70.14","70.71","71.01","66.83","66.8","78.95","84.98","92.61","100","100","100","100"
"Naucalpan, México","Tomas con servicio continuo (%)","","","","","51.74","53.94","53.94","58.71","54.62","34.07","49.81","50.57","39.92","50.39"
"Navolato, Sinaloa","Tomas con servicio continuo (%)","","","100","100","100","100","","","100","100","100","100","100","100"
"Poza Rica, Veracruz","Tomas con servicio continuo (%)","1.34","1.41","1.51","1.54","1.55","1.56","1.64","1.59","","","","","",""
"San Luis de la Paz, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","2.1","2.76","","",""
"San Luis Potosí, San Luis Potosí","Tomas con servicio continuo (%)","","74.02","73.63","75.17","76.01","","","","","","72.49","","","70"
"Silao, Guanajuato","Tomas con servicio continuo (%)","70","40","40","40","40","40","40","54.99","32.53","52.56","53.42","44.75","45","80.37"
"Tulancingo, Hidalgo","Tomas con servicio continuo (%)","","","","","","","","","","","68.89","69.52","",""
"Tuxpam, Veracruz","Tomas con servicio continuo (%)","","","","","","","16.03","15.85","2.91","10.37","8.12","10.45","14.52","12.72"
"Valle de Santiago, Guanajuato","Tomas con servicio continuo (%)","42.22","39.88","42.41","42.51","42.48","41.86","41.92","","","87.8","89.45","","","94.39"
"Santa María del Tule, Oaxaca","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Sta. C. de J. Rosas, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","","97.76","","",""
"Tarimoro, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Apizaco, Tlaxcala","Tomas con servicio continuo (%)","","","","","","","","87.68","99.35","99.37","100","100","",""
"Dolores Hidalgo, Guanajuato","Tomas con servicio continuo (%)","","100","100","100","100","100","100","100","","88.44","99.78","90.32","100","100"
"La Paz, México","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Nicolás Romero, México","Tomas con servicio continuo (%)","","18.81","18.8","18.45","18.29","18.35","17.57","18.84","9.53","8.85","8.54","7.97","25.99","25.59"
