CVE_SUN,CVE_ENT,CVE_MUN,CVE_SUNMUN,NOM_ENT,NOM_MUN,CVE_LOC,NOM_LOC,NOM_SUN,TIPO_SUN,SUBSIS_PPAL
052,30,30039,05230039,Veracruz de Ignacio de la Llave,Coatzacoalcos,,,Coatzacoalcos,1,1
052,30,30082,05230082,Veracruz de Ignacio de la Llave,Ixhuatlán del Sureste,,,Coatzacoalcos,1,1
052,30,30206,05230206,Veracruz de Ignacio de la Llave,Nanchital de Lázaro Cárdenas del Río,,,Coatzacoalcos,1,1
053,30,30014,05330014,Veracruz de Ignacio de la Llave,Amatlán de los Reyes,,,Córdoba,1,1
053,30,30044,05330044,Veracruz de Ignacio de la Llave,Córdoba,,,Córdoba,1,1
053,30,30068,05330068,Veracruz de Ignacio de la Llave,Fortín,,,Córdoba,1,1
053,30,30196,05330196,Veracruz de Ignacio de la Llave,Yanga,,,Córdoba,1,1
054,30,30003,05430003,Veracruz de Ignacio de la Llave,Acayucan,,,Acayucan,1,1
054,30,30116,05430116,Veracruz de Ignacio de la Llave,Oluta,,,Acayucan,1,1
054,30,30145,05430145,Veracruz de Ignacio de la Llave,Soconusco,,,Acayucan,1,1
055,31,31013,05531013,Yucatán,Conkal,,,Mérida,1,1
055,31,31041,05531041,Yucatán,Kanasín,,,Mérida,1,1
055,31,31050,05531050,Yucatán,Mérida,,,Mérida,1,1
055,31,31100,05531100,Yucatán,Ucú,,,Mérida,1,1
055,31,31101,05531101,Yucatán,Umán,,,Mérida,1,1
057,11,11007,05711007,Guanajuato,Celaya,,,Celaya,1,1
057,11,11009,05711009,Guanajuato,Comonfort,,,Celaya,1,1
057,11,11044,05711044,Guanajuato,Villagrán,,,Celaya,1,1
058,15,15006,05815006,México,Almoloya del Río,,,Tianguistenco,1,1
058,15,15012,05815012,México,Atizapán,,,Tianguistenco,1,1
058,15,15019,05815019,México,Capulhuac,,,Tianguistenco,1,1
058,15,15043,05815043,México,Xalatlaco,,,Tianguistenco,1,1
058,15,15098,05815098,México,Texcalyacac,,,Tianguistenco,1,1
058,15,15101,05815101,México,Tianguistenco,,,Tianguistenco,1,1
059,21,21054,05921054,Puebla,Chignautla,,,Teziutlán,1,1
059,21,21174,05921174,Puebla,Teziutlán,,,Teziutlán,1,1
060,02,02001,06002001,Baja California,Ensenada,20010001,Ensenada,Ensenada,2,1
060,02,02001,06002001,Baja California,Ensenada,20010247,El Sauzal de Rodríguez,Ensenada,2,1
061,03,03008,06103008,Baja California Sur,Los Cabos,30080001,San José del Cabo,San José del Cabo,2,1
061,03,03008,06103008,Baja California Sur,Los Cabos,30080247,San José Viejo,San José del Cabo,2,1
061,03,03008,06103008,Baja California Sur,Los Cabos,30080304,Las Veredas,San José del Cabo,2,1
062,03,03008,06203008,Baja California Sur,Los Cabos,30080054,Cabo San Lucas,Cabo San Lucas,2,1
062,03,03008,06203008,Baja California Sur,Los Cabos,30080753,Colonia del Sol,Cabo San Lucas,2,1
062,03,03008,06203008,Baja California Sur,Los Cabos,30080952,Las Palmas,Cabo San Lucas,2,1
063,04,04002,06304002,Campeche,Campeche,40020001,San Francisco de Campeche,Campeche,2,1
063,04,04002,06304002,Campeche,Campeche,40020087,Lerma,Campeche,2,1
065,06,06007,06506007,Colima,Manzanillo,60070001,Manzanillo,Manzanillo,2,1
065,06,06007,06506007,Colima,Manzanillo,60070021,El Colomo,Manzanillo,2,1
066,07,07089,06607089,Chiapas,Tapachula,70890001,Tapachula de Córdova y Ordóñez,Tapachula de Cordova y Ordoñez,2,1
066,07,07089,06607089,Chiapas,Tapachula,70890150,Raymundo Enríquez,Tapachula de Cordova y Ordoñez,2,1
066,07,07089,06607089,Chiapas,Tapachula,70890991,Vida Mejor I,Tapachula de Cordova y Ordoñez,2,1
066,07,07089,06607089,Chiapas,Tapachula,70891025,Los Cafetales,Tapachula de Cordova y Ordoñez,2,1
068,11,11015,06811015,Guanajuato,Guanajuato,110150001,Guanajuato,Guanajuato,2,1
068,11,11015,06811015,Guanajuato,Guanajuato,110150067,Marfil,Guanajuato,2,1
068,11,11015,06811015,Guanajuato,Guanajuato,110150126,Yerbabuena,Guanajuato,2,1
069,11,11017,06911017,Guanajuato,Irapuato,110170001,Irapuato,Irapuato,2,1
069,11,11017,06911017,Guanajuato,Irapuato,110170059,Arandas,Irapuato,2,1
069,11,11017,06911017,Guanajuato,Irapuato,110170359,Villas de Irapuato,Irapuato,2,1
071,11,11033,07111033,Guanajuato,San Luis de la Paz,110330001,San Luis de la Paz,San Luis de la Paz,2,1
071,11,11033,07111033,Guanajuato,San Luis de la Paz,110330110,Misión de Chichimecas,San Luis de la Paz,2,1
073,12,12029,07312029,Guerrero,Chilpancingo de los Bravo,120290001,Chilpancingo de los Bravo,Chilpancingo de los Bravo,2,1
073,12,12029,07312029,Guerrero,Chilpancingo de los Bravo,120290047,Petaquillas,Chilpancingo de los Bravo,2,1
094,16,16052,09416052,Michoacán de Ocampo,Lázaro Cárdenas,160520001,Ciudad Lázaro Cárdenas,Ciudad Lázaro Cárdenas,2,1
094,16,16052,09416052,Michoacán de Ocampo,Lázaro Cárdenas,160520077,Las Guacamayas,Ciudad Lázaro Cárdenas,2,1
094,16,16052,09416052,Michoacán de Ocampo,Lázaro Cárdenas,160520137,La Orilla,Ciudad Lázaro Cárdenas,2,1
095,16,16102,09516102,Michoacán de Ocampo,Uruapan,161020001,Uruapan,Uruapan,2,1
095,16,16102,09516102,Michoacán de Ocampo,Uruapan,161020061,Caltzontzin,Uruapan,2,1
095,16,16102,09516102,Michoacán de Ocampo,Uruapan,161020110,Santa Rosa (Santa Bárbara),Uruapan,2,1
095,16,16102,09516102,Michoacán de Ocampo,Uruapan,161020119,Toreo Bajo (El Toreo Bajo),Uruapan,2,1
098,16,16112,09816112,Michoacán de Ocampo,Zitácuaro,161120001,Heróica Zitácuaro,Zitácuaro,2,1
098,16,16112,09816112,Michoacán de Ocampo,Zitácuaro,161120082,Rincón de Nicolás Romero (Cedros Tercera Manzana),Zitácuaro,2,1
104,20,20184,10420184,Oaxaca,San Juan Bautista Tuxtepec,201840001,San Juan Bautista Tuxtepec,San Juan Bautista Tuxtepec,2,1
104,20,20184,10420184,Oaxaca,San Juan Bautista Tuxtepec,201840050,San Bartolo,San Juan Bautista Tuxtepec,2,1
106,21,21004,10621004,Puebla,Acatzingo,210040001,Acatzingo de Hidalgo,Acatzingo de Hidalgo,2,1
106,21,21004,10621004,Puebla,Acatzingo,210040002,Actipan de Morelos (Santa María Actipan),Acatzingo de Hidalgo,2,1
106,21,21038,10621038,Puebla,Cuapiaxtla de Madero,210380001,Cuapiaxtla de Madero,Acatzingo de Hidalgo,2,1
106,21,21118,10621118,Puebla,Los Reyes de Juárez,211180001,Los Reyes de Juárez,Acatzingo de Hidalgo,2,1
106,21,21118,10621118,Puebla,Los Reyes de Juárez,211180007,Santiago Acozac,Acatzingo de Hidalgo,2,1
111,21,21071,11121071,Puebla,Huauchinango,210710001,Huauchinango,Huauchinango,2,1
111,21,21071,11121071,Puebla,Huauchinango,210710009,Cuacuila,Huauchinango,2,1
119,23,23004,11923004,Quintana Roo,Othón P. Blanco,230040001,Chetumal,Chetumal,2,1
119,23,23004,11923004,Quintana Roo,Othón P. Blanco,230040016,Calderitas,Chetumal,2,1
121,26,26018,12126018,Sonora,Cajeme,260180001,Ciudad Obregón,Ciudad Obregón,2,1
121,26,26018,12126018,Sonora,Cajeme,260180364,Providencia,Ciudad Obregón,2,1
123,27,27002,12327002,Tabasco,Cárdenas,270020001,Cárdenas,Cárdenas,2,1
123,27,27002,12327002,Tabasco,Cárdenas,270020051,Melchor Ocampo,Cárdenas,2,1
127,29,29013,12729013,Tlaxcala,Huamantla,290130001,Huamantla,Huamantla,2,1
127,29,29013,12729013,Tlaxcala,Huamantla,290130016,Ignacio Zaragoza,Huamantla,2,1
132,30,30023,13230023,Veracruz de Ignacio de la Llave,Atzalan,300230250,Colonias Pedernales,Martínez de la Torre,2,1
132,30,30102,13230102,Veracruz de Ignacio de la Llave,Martínez de la Torre,301020001,Martínez de la Torre,Martínez de la Torre,2,1
132,30,30102,13230102,Veracruz de Ignacio de la Llave,Martínez de la Torre,301020030,Independencia,Martínez de la Torre,2,1
134,30,30189,13430189,Veracruz de Ignacio de la Llave,Tuxpan,301890001,Túxpam de Rodríguez Cano,Túxpam de Rodríguez Cano,2,1
134,30,30189,13430189,Veracruz de Ignacio de la Llave,Tuxpan,301890005,Alto Lucero,Túxpam de Rodríguez Cano,2,1
134,30,30189,13430189,Veracruz de Ignacio de la Llave,Tuxpan,301890083,Santiago de la Peña,Túxpam de Rodríguez Cano,2,1
137,32,32010,13732010,Zacatecas,Fresnillo,320100001,Fresnillo,Fresnillo,2,1
137,32,32010,13732010,Zacatecas,Fresnillo,320100165,Plateros,Fresnillo,2,1
144,03,03003,14403003,Baja California Sur,La Paz,30030001,La Paz,La Paz,3,1
145,04,04003,14504003,Campeche,Carmen,40030001,Ciudad del Carmen,Ciudad del Carmen,3,1
148,05,05002,14805002,Coahuila de Zaragoza,Acuña,50020001,Ciudad Acuña,Ciudad Acuña,3,1
154,05,05028,15405028,Coahuila de Zaragoza,Sabinas,50280001,Sabinas,Sabinas,3,1
160,07,07019,16007019,Chiapas,Comitán de Domínguez,70190001,Comitán de Domínguez,Comitán de Domínguez,3,1
172,07,07078,17207078,Chiapas,San Cristóbal de las Casas,70780001,San Cristóbal de las Casas,San Cristóbal de las Casas,3,1
180,08,08017,18008017,Chihuahua,Cuauhtémoc,80170001,Cuauhtémoc,Cuauhtémoc,3,1
181,08,08021,18108021,Chihuahua,Delicias,80210001,Delicias,Delicias,3,1
182,08,08032,18208032,Chihuahua,Hidalgo del Parral,80320001,Hidalgo del Parral,Hidalgo del Parral,3,1
186,08,08050,18608050,Chihuahua,Nuevo Casas Grandes,80500001,Nuevo Casas Grandes,Nuevo Casas Grandes,3,1
188,10,10005,18810005,Durango,Durango,100050001,Victoria de Durango,Victoria de Durango,3,1
194,11,11002,19411002,Guanajuato,Acámbaro,110020001,Acámbaro,Acámbaro,3,1
195,11,11003,19511003,Guanajuato,San Miguel de Allende,110030001,San Miguel de Allende,San Miguel de Allende,3,1
197,11,11011,19711011,Guanajuato,Cortazar,110110001,Cortazar,Cortazar,3,1
198,11,11014,19811014,Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,110140001,Dolores Hidalgo Cuna de la Independencia,Dolores Hidalgo Cuna de la Independencia,3,1
201,11,11027,20111027,Guanajuato,Salamanca,110270001,Salamanca,Salamanca,3,1
205,11,11042,20511042,Guanajuato,Valle de Santiago,110420001,Valle de Santiago,Valle de Santiago,3,1
211,12,12035,21112035,Guerrero,Iguala de la Independencia,120350001,Iguala de la Independencia,Iguala de la Independencia,3,1
212,12,12038,21212038,Guerrero,Zihuatanejo de Azueta,120380001,Zihuatanejo,Zihuatanejo,3,1
215,12,12055,21512055,Guerrero,Taxco de Alarcón,120550001,Taxco de Alarcón,Taxco de Alarcón,3,1
224,14,14008,22414008,Jalisco,Arandas,140080001,Arandas,Arandas,3,1
228,14,14023,22814023,Jalisco,Zapotlán el Grande,140230001,Ciudad Guzmán,Ciudad Guzmán,3,1
234,14,14053,23414053,Jalisco,Lagos de Moreno,140530001,Lagos de Moreno,Lagos de Moreno,3,1
242,14,14093,24214093,Jalisco,Tepatitlán de Morelos,140930001,Tepatitlán de Morelos,Tepatitlán de Morelos,3,1
252,16,16006,25216006,Michoacán de Ocampo,Apatzingán,160060001,Apatzingán de la Constitución,Apatzingán de la Constitución,3,1
254,16,16034,25416034,Michoacán de Ocampo,Hidalgo,160340001,Ciudad Hidalgo,Ciudad Hidalgo,3,1
260,16,16066,26016066,Michoacán de Ocampo,Pátzcuaro,160660001,Pátzcuaro,Pátzcuaro,3,1
264,16,16076,26416076,Michoacán de Ocampo,Sahuayo,160760001,Sahuayo de Morelos,Sahuayo de Morelos,3,1
268,16,16107,26816107,Michoacán de Ocampo,Zacapu,161070001,Zacapu,Zacapu,3,1
281,19,19033,28119033,Nuevo León,Linares,190330001,Linares,Linares,3,1
286,20,20039,28620039,Oaxaca,Heroica Ciudad de Huajuapan de León,200390001,Heroica Ciudad de Huajuapan de León,Heroica Ciudad de Huajuapan de León,3,1
287,20,20043,28720043,Oaxaca,Heroica Ciudad de Juchitán de Zaragoza,200430001,Heroica Ciudad de Juchitán de Zaragoza,Heroica Ciudad de Juchitán de Zaragoza,3,1
294,21,21019,29421019,Puebla,Atlixco,210190001,Atlixco,Atlixco,3,1
301,22,22016,30122016,Querétaro,San Juan del Río,220160001,San Juan del Río,San Juan del Río,3,1
303,23,23001,30323001,Quintana Roo,Cozumel,230010001,Cozumel,Cozumel,3,1
305,23,23008,30523008,Quintana Roo,Solidaridad,230080001,Playa del Carmen,Playa del Carmen,3,1
308,24,24013,30824013,San Luis Potosí,Ciudad Valles,240130001,Ciudad Valles,Ciudad Valles,3,1
310,24,24020,31024020,San Luis Potosí,Matehuala,240200001,Matehuala,Matehuala,3,1
314,25,25001,31425001,Sinaloa,Ahome,250010001,Los Mochis,Los Mochis,3,1
315,25,25006,31525006,Sinaloa,Culiacán,250060001,Culiacán Rosales,Culiacán Rosales,3,1
319,25,25011,31925011,Sinaloa,Guasave,250110001,Guasave,Guasave,3,1
321,25,25012,32125012,Sinaloa,Mazatlán,250120001,Mazatlán,Mazatlán,3,1
323,25,25015,32325015,Sinaloa,Salvador Alvarado,250150001,Guamúchil,Guamúchil,3,1
326,26,26002,32626002,Sonora,Agua Prieta,260020001,Agua Prieta,Agua Prieta,3,1
327,26,26017,32726017,Sonora,Caborca,260170001,Heroica Caborca,Heroica Caborca,3,1
329,26,26030,32926030,Sonora,Hermosillo,260300001,Hermosillo,Hermosillo,3,1
333,26,26042,33326042,Sonora,Navojoa,260420001,Navojoa,Navojoa,3,1
334,26,26043,33426043,Sonora,Nogales,260430001,Heroica Nogales,Heroica Nogales,3,1
335,26,26048,33526048,Sonora,Puerto Peñasco,260480001,Puerto Peñasco,Puerto Peñasco,3,1
336,26,26055,33626055,Sonora,San Luis Río Colorado,260550001,San Luis Río Colorado,San Luis Río Colorado,3,1
344,28,28021,34428021,Tamaulipas,El Mante,280210001,Ciudad Mante,Ciudad Mante,3,1
348,28,28041,34828041,Tamaulipas,Victoria,280410001,Ciudad Victoria,Ciudad Victoria,3,1
361,30,30141,36130141,Veracruz de Ignacio de la Llave,San Andrés Tuxtla,301410001,San Andrés Tuxtla,San Andrés Tuxtla,3,1
056,32,32017,05632017,Zacatecas,Guadalupe,,,Zacatecas-Guadalupe,1,1
056,32,32032,05632032,Zacatecas,Morelos,,,Zacatecas-Guadalupe,1,1
056,32,32056,05632056,Zacatecas,Zacatecas,,,Zacatecas-Guadalupe,1,1
